2024-11-14 09:39:40, MESA: SD, WW_LW: ASD, STACK: ASD
2024-11-14 09:41:48, MESA: 3, WW_LW: WW, STACK: COR45
2024-11-14 09:42:07, MESA: 3, WW_LW: WW, STACK: COR28
2024-11-14 09:44:08, MESA: 5, WW_LW: WW, STACK: BLL32
2024-11-14 09:49:58, MESA: hola, WW_LW: erw, STACK: 2334
2024-11-14 09:50:17, MESA: chao, WW_LW: ww, STACK: 54
2024-11-14 10:08:02, MESA: , WW_LW: , STACK: 
2024-11-14 10:41:03, MESA: 4, WW_LW: ww, STACK: cur32
2024-11-14 11:38:24, MESA: , WW_LW: , STACK: 
2024-11-14 11:39:07, MESA: wsw, WW_LW: wswwsw, STACK: ws
2024-11-14 14:21:11, MESA: 2, WW_LW: ww, STACK: cur23, MAQUINA: ASM001
2024-11-14 14:23:38, MESA: 03, WW_LW: ww, STACK: cur21, MAQUINA: ASM001
2024-11-14 14:27:24, MESA: 23, WW_LW: ww, STACK: cf23, MAQUINA: ASM001
2024-11-14 14:27:57, MESA: 3, WW_LW: ww, STACK: cur21, MAQUINA: ASM001
2024-11-14 14:29:06, MESA: fdg, WW_LW: fdg, STACK: dfg, MAQUINA: ASM001
2024-11-14 14:33:33, MESA: 3, WW_LW: ww, STACK: cur25, MAQUINA: ASM001
2024-11-14 14:37:17, MESA: 2, WW_LW: WW, STACK: CUR23, MAQUINA: ASM001
2024-11-14 14:39:57, MESA: 3, WW_LW: 3, STACK: 3, MAQUINA: ASM001
2024-11-14 14:40:40, MESA: FG, WW_LW: DFG, STACK: DFG, MAQUINA: ASM001
2024-11-14 14:42:21, MESA: SD, WW_LW: SD, STACK: SD, MAQUINA: ASM001
2024-11-14 14:42:31, MESA: , WW_LW: , STACK: , MAQUINA: ASM001
2024-11-14 14:43:55, MESA: 3, WW_LW: WW, STACK: WDW22, MAQUINA: ASM001
2024-11-14 14:45:01, MESA: 2, WW_LW: WW, STACK: CRE23, MAQUINA: ASM001
2024-11-14 14:45:53, MESA: 4, WW_LW: WW, STACK: CDFD3, MAQUINA: ASM001
2024-11-14 14:47:49, STACK: S, WW_LW: A, MESA: P, ASM003
2024-11-14 14:51:24,STACK: cur23,WW_LW: ww,MESA: 3, ASM003
2024-11-14 14:51:58,STACK: bov23,WW_LW: ww,MESA: 23, ASM003
2024-11-15 11:41:13,STACK: csa,WW_LW: asd,MESA: sd, ASM003
2024-11-15 11:46:24,STACK: got4,WW_LW: ww,MESA: 07, ASM003
2024-11-15 12:47:07,STACK: ,WW_LW: ,MESA: , ASM003
